순번,"매입형
/건축형",지역본부,관리부서,명,주소,호수,"전용
면적(㎡)","주거공용
면적(㎡)",면적계(㎡),공급형,성별전용, 임대보증금(원) , 월임대료(원) ,주택열람일정,관리비
1,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,202,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
2,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,203,21.17,17.75,38.92,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
3,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,204,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
4,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,205,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
5,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,301,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
6,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,302,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
7,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,303,21.17,17.75,38.92,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
8,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,304,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
9,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,305,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
10,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,401,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
11,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,402,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
12,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,403,21.17,17.75,38.92,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
13,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,404,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
14,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,405,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
15,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,501,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
16,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,502,20.81,17.42,38.23,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
17,매입형,서울지역본부,서울중부권주거복지지사,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동) ,503,21.17,17.75,38.92,단독(1인),남여공용,산정중,산정중,열람불가(계약전 주택개방),
